sampleID,fishID,origin,enclosure,transplant,date_in,pre_mass,pre_length,post_mass,post_length,pw,bd,gw,grn,grl,sex,survived,cage_mass_stdev,cage_mass_mean,cage_mass_mean_deviation_sd
181,181,Lake,L1,Lake,06/04/11,1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4532475409015843,1.2566666666666666,-0.56628363864062925
182,182,Lake,L1,Lake,06/04/11,0.99,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4532475409015843,1.2566666666666666,-0.5883466375487058
L01A,1,Stream,L1,Lake,06/02/11,1.78,4.7,1.61,4.8,5.6,11.58,3.49,17,2.8,M,1,0.4532475409015843,1.2566666666666666,1.1546302761893354
16,16,Stream,L10,Lake,06/02/11,1.22,4.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4219399641339196,1.6633333333333333,-1.050702400857729
193,193,Lake,L10,Lake,06/05/11,1.71,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4219399641339196,1.6633333333333333,0.11060025272186612
L10A,17,Stream,L10,Lake,06/02/11,2.06,5.1,1.9,5.2,5.77,12.64,3.66,19,2.9,M,1,0.4219399641339196,1.6633333333333333,0.9401021481358628
18,18,Stream,L11,Lake,06/02/11,1.83,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,0.6757373783994861
19,19,Stream,L11,Lake,06/02/11,1.69,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,0.47301616487964016
194,194,Lake,L11,Lake,06/05/11,0.57,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6906036007242746,1.3633333333333333,-1.148753543279126
195,195,Lake,L12,Lake,06/05/11,0.68,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7531932023060218,1.51,-1.1019748949656234
21,21,Stream,L12,Lake,06/02/11,1.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7531932023060218,1.51,0.2522593133053836
L12A,20,Stream,L12,Lake,06/02/11,2.15,5.3,1.94,5.4,NA,NA,NA,NA,NA,NA,1,0.7531932023060218,1.51,0.8497155816602396
196,196,Lake,L13,Lake,06/05/11,0.59,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,-0.6419372603460065
197,197,Lake,L13,Lake,06/05/11,0.67,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,-0.5102578223263128
22,22,Stream,L13,Lake,06/02/11,1.68,5.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6075360071633614,0.98,1.1521950826723193
24,24,Stream,L14,Lake,06/02/11,2.44,5.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0088111815399352,1.31,1.1201303283287085
L14A,198,Lake,L14,Lake,06/05/11,0.5,3.6,2.25,5.5,6.61,13.06,4.19,17,3.5,M,1,1.0088111815399352,1.31,-0.8029252795984548
L14B,23,Stream,L14,Lake,06/02/11,0.99,4.2,1.03,4.3,4.92,10.85,2.55,16,2.5,F,1,1.0088111815399352,1.31,-0.3172050487302538
199,199,Lake,L15,Lake,06/05/11,0.94,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1428619047519843,1.4333333333333333,-0.43166486806679677
L15A,200,Lake,L15,Lake,06/05/11,0.62,3.8,0.81,4,3.81,7.78,2.26,20,3.3,M,1,1.1428619047519843,1.4333333333333333,-0.7116637014074216
L15B,25,Stream,L15,Lake,06/02/11,2.74,5.4,2.16,5.5,6.99,13.49,3.87,18,2.6,F,1,1.1428619047519843,1.4333333333333333,1.1433285694742186
201,201,Lake,L16,Lake,06/05/11,1.81,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7503554713156514,1.5133333333333332,0.3953681661659642
202,202,Lake,L16,Lake,06/05/11,0.66,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7503554713156514,1.5133333333333332,-1.1372387700953568
L16A,26,Stream,L16,Lake,06/02/11,2.07,5.1,1.99,5.2,6.34,13.07,3.91,18,3.4,M,1,0.7503554713156514,1.5133333333333332,0.7418706039293931
203,203,Lake,L17,Lake,06/05/11,0.91,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5132575701666107,1.4533333333333334,-1.0585977975092693
27,27,Stream,L17,Lake,06/02/11,1.52,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5132575701666107,1.4533333333333334,0.12988930030788579
L17A,28,Stream,L17,Lake,06/02/11,1.93,4.9,1.61,5.2,6.15,11.72,3.21,18,2.8,F,1,0.5132575701666107,1.4533333333333334,0.9287084972013834
L18A,204,Lake,L18,Lake,06/05/11,0.69,3.8,0.65,3.9,3.55,8.09,2.51,19,3.4,M,1,0.23028967265887831,0.9133333333333333,-0.9697930903925112
L18B,29,Stream,L18,Lake,06/02/11,0.9,4.1,0.87,4.2,4.58,9.77,2.89,16,2.4,M,1,0.23028967265887831,0.9133333333333333,-0.05789809494880652
L18C,30,Stream,L18,Lake,06/02/11,1.15,4.4,NA,NA,5.12,10.45,2.85,17,2.7,M,0,0.23028967265887831,0.9133333333333333,1.027691185341317
205,205,Lake,L19,Lake,06/05/11,1.03,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4726873526268005,1.3466666666666667,-0.6699283678882002
31,31,Stream,L19,Lake,06/02/11,1.12,4.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4726873526268005,1.3466666666666667,-0.4795276738568168
L19A,32,Stream,L19,Lake,06/02/11,1.89,4.9,1.74,5.1,5.92,12.22,3.92,17,3.7,M,1,0.4726873526268005,1.3466666666666667,1.149456041745017
L02A,183,Lake,L2,Lake,06/04/11,0.74,3.9,0.69,4.1,6.28,11.89,3.43,21,3.4,M,1,0.5589573627150225,1.0166666666666666,-0.494969178548457
L02A1,3,Stream,L2,Lake,06/02/11,1.66,5.2,1.63,5.3,3.98,9.07,2.45,18,2.6,M,1,0.5589573627150225,1.0166666666666666,1.1509524272271352
L02B,2,Stream,L2,Lake,06/02/11,0.65,3.7,0.64,3.8,NA,NA,NA,NA,NA,NA,1,0.5589573627150225,1.0166666666666666,-0.655983248678678
206,206,Lake,L20,Lake,06/05/11,2.43,5.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6698445093203845,1.6075,1.2278969052601445
207,207,Lake,L20,Lake,06/05/11,0.79,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6698445093203845,1.6075,-1.2204324863831828
L20A,33,Stream,L20,Lake,06/02/11,1.58,4.6,1.51,4.2,5.41,11.8,3.58,18,2.9,M,1,0.6698445093203845,1.6075,-0.041054303823287286
L21A,34,Stream,L20,Lake,06/02/11,1.63,4.9,1.58,5.2,6.07,12.32,3.43,19,2.5,F,1,0.6698445093203845,1.6075,0.03358988494632608
208,208,Lake,L21,Lake,06/05/11,0.67,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5828378848359121,1.19,-0.8921863412265949
209,209,Lake,L21,Lake,06/05/11,1.08,4.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5828378848359121,1.19,-0.18873172602870258
L22A,35,Stream,L21,Lake,06/02/11,1.82,4.9,1.81,4.9,5.6,11.96,3.7,18,3.3,M,1,0.5828378848359121,1.19,1.080918067255298
210,210,Lake,L22,Lake,06/05/11,0.65,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15307950004273374,0.7666666666666666,-0.7621312235413485
211,211,Lake,L22,Lake,06/05/11,0.71,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15307950004273374,0.7666666666666666,-0.3701780228629408
L23A,37,Stream,L22,Lake,06/02/11,0.94,4.1,0.87,4.1,4.84,10.12,2.7,18,2.4,F,1,0.15307950004273374,0.7666666666666666,1.13230924640429
38,38,Stream,L23,Lake,06/02/11,0.95,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6293117934166921,1.1866666666666665,-0.3760721936923249
L23B,36,Stream,L23,Lake,06/02/11,1.9,5.1,1.75,5.2,5.53,12.58,3.77,19,3.3,M,1,0.6293117934166921,1.1866666666666665,1.1335133725374305
L23C,212,Lake,L23,Lake,06/05/11,0.71,3.9,0.63,3.9,4.08,8.16,2.57,16,2.1,F,1,0.6293117934166921,1.1866666666666665,-0.7574411788451052
213,213,Lake,L24,Lake,06/05/11,0.72,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.419563264995082,0.8833333333333333,-0.38929369408746467
214,214,Lake,L24,Lake,06/05/11,0.57,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.419563264995082,0.8833333333333333,-0.746808311106565
L25A,39,Stream,L24,Lake,06/02/11,1.36,4.6,1.56,4.2,5.69,12.11,3.35,19,3.2,M,1,0.419563264995082,0.8833333333333333,1.1361020051940298
215,215,Lake,L25,Lake,06/05/11,0.54,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1.2515790027001892,1.425,-0.7071067811865475
216,216,Lake,L25,Lake,06/05/11,2.31,5.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1.2515790027001892,1.425,0.7071067811865475
218,218,Lake,L26,Lake,06/05/11,0.95,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6501025560119983,1.1933333333333334,-0.3742999178868671
L26A,217,Lake,L26,Lake,06/05/11,0.7,4,0.67,4.2,3.19,8.31,2.75,20,2.9,M,1,0.6501025560119983,1.1933333333333334,-0.7588546280446072
L26B,40,Stream,L26,Lake,06/02/11,1.93,5.2,1.65,5.3,6.02,12.19,3.38,19,2.7,F,1,0.6501025560119983,1.1933333333333334,1.133154545931474
219,219,Lake,L27,Lake,06/05/11,0.65,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5828664798505172,1.2633333333333334,-1.0522707250048584
220,220,Lake,L27,Lake,06/05/11,1.33,4.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5828664798505172,1.2633333333333334,0.11437725271791935
L27A,41,Stream,L27,Lake,06/02/11,1.81,5.3,1.97,5.4,6.26,13.4,3.84,17,2.9,F,1,0.5828664798505172,1.2633333333333334,0.9378934722869388
221,221,Lake,L28,Lake,06/05/11,0.68,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5550675634551168,0.9700000000000001,-0.5224589204868024
L28A,42,Stream,L28,Lake,06/02/11,1.61,4.9,1.49,4.9,6.33,10.9,3.31,16,3.1,F,1,0.5550675634551168,0.9700000000000001,1.15301279003984
L28B,222,Lake,L28,Lake,06/05/11,0.62,3.7,0.74,3.7,3.76,8.41,1.99,20,2.3,M,1,0.5550675634551168,0.9700000000000001,-0.6305538695530376
223,223,Lake,L29,Lake,06/05/11,2.72,6.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0081666528902848,1.84,0.8728715609439696
224,224,Lake,L29,Lake,06/05/11,0.74,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0081666528902848,1.84,-1.091089451179962
L29A,43,Stream,L29,Lake,06/02/11,2.06,5.1,1.72,5.2,6.12,11.96,3.63,19,2.9,F,1,1.0081666528902848,1.84,0.21821789023599233
184,184,Lake,L3,Lake,06/04/11,0.6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8309833532227545,1.4533333333333331,-1.02689582170798
5,5,Stream,L3,Lake,06/02/11,1.5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8309833532227545,1.4533333333333331,0.0561583652496554
L03A,4,Stream,L3,Lake,06/02/11,2.26,5.3,1.72,5.2,6.56,11.78,3.64,19,2.8,F,1,0.8309833532227545,1.4533333333333331,0.9707374564583251
225,225,Lake,L30,Lake,06/05/11,1.18,4.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1078579312490896,1.3033333333333332,-1.1434795003485134
226,226,Lake,L30,Lake,06/05/11,1.35,4.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1078579312490896,1.3033333333333332,0.4326679190507908
L30A,44,Stream,L30,Lake,06/02/11,1.38,4.6,1.28,4.7,5.29,11.64,3.16,18,3.2,M,1,0.1078579312490896,1.3033333333333332,0.7108115812977248
L31A,45,Stream,L31,Lake,06/02/11,1.9,5,2.18,5.2,6.62,13.23,3.67,20,2.4,F,1,0.6657326790837295,1.42,0.7210101217513316
L31B,46,Stream,L31,Lake,06/02/11,1.7,4.9,1.45,4.9,5.67,11.39,2.86,19,2.9,F,1,0.6657326790837295,1.42,0.42058923768827683
L31C,227,Lake,L31,Lake,06/05/11,0.66,3.8,0.64,4,3.47,8.59,2.53,18,2.5,M,1,0.6657326790837295,1.42,-1.1415993594396083
229,229,Lake,L32,Lake,06/05/11,0.64,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6293117934166922,1.1166666666666667,-0.7574411788451053
L32A,47,Stream,L32,Lake,06/02/11,1.83,5.3,1.7,5.5,6.05,12.14,3.29,21,3.5,F,1,0.6293117934166922,1.1166666666666667,1.1335133725374302
L32B,228,Lake,L32,Lake,06/05/11,0.88,4.2,0.93,4.3,3.81,8.1,2.96,21,2.2,M,1,0.6293117934166922,1.1166666666666667,-0.37607219369232503
L33A,48,Stream,L33,Lake,06/02/11,1.74,4.8,1.5,4.9,5.54,12.1,3.22,20,2.6,F,1,0.5253887449625595,1.4366666666666665,0.577350269189626
L33B,49,Stream,L33,Lake,06/02/11,1.74,4.6,1.48,4.8,6.05,11.86,3.26,18,3.1,F,1,0.5253887449625595,1.4366666666666665,0.577350269189626
L33C,230,Lake,L33,Lake,06/05/11,0.83,4.2,0.58,4.2,3.82,7.7,2.36,19,2.5,M,1,0.5253887449625595,1.4366666666666665,-1.1547005383792512
231,231,Lake,L34,Lake,06/05/11,0.68,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.17009801096230762,0.7466666666666667,-0.39193090083481025
L34A,50,Stream,L34,Lake,06/02/11,0.94,4.2,1.1,4.6,4.96,10.55,2.64,17,2.6,F,1,0.17009801096230762,0.7466666666666667,1.1365996124209494
L34B,232,Lake,L34,Lake,06/05/11,0.62,3.9,0.56,4,3.02,7.84,1.57,18,2.9,M,1,0.17009801096230762,0.7466666666666667,-0.7446687115861399
233,233,Lake,L35,Lake,06/05/11,1.28,4.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.060277137733417134,1.2233333333333334,0.9401021481358616
L35A,51,Stream,L35,Lake,06/02/11,1.23,4.7,1.21,4.8,5.88,10.86,3.13,16,2.8,F,1,0.060277137733417134,1.2233333333333334,0.11060025272186498
L35B,52,Stream,L35,Lake,06/02/11,1.16,4.3,1.29,4.5,4.78,10.98,3.54,19,2.8,M,1,0.060277137733417134,1.2233333333333334,-1.0507024008577301
234,234,Lake,L36,Lake,06/05/11,0.62,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4887739763939975,1.1400000000000001,-1.06388642831678
L36A,54,Stream,L36,Lake,06/02/11,1.59,4.9,1.56,4.9,5.74,11.77,3.24,17,3.2,F,1,0.4887739763939975,1.1400000000000001,0.9206709475818285
L36B,53,Stream,L36,Lake,06/02/11,1.21,4.4,1.28,4.5,4.8,11.03,3.48,18,3,M,1,0.4887739763939975,1.1400000000000001,0.1432154807349508
235,235,Lake,L37,Lake,06/06/11,0.73,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7574518686578926,1.5766666666666667,-1.117782794789128
55,55,Stream,L37,Lake,06/02/11,2.19,5.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7574518686578926,1.5766666666666667,0.8097324182724391
56,56,Stream,L37,Lake,06/02/11,1.81,5.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7574518686578926,1.5766666666666667,0.3080503765166889
236,236,Lake,L38,Lake,06/06/11,0.83,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.11503622617824931,0.8266666666666667,0.02897637938998694
L38A,237,Lake,L38,Lake,06/06/11,0.71,3.9,0.69,4,4.01,7.97,2.95,18,2.9,M,1,0.11503622617824931,0.8266666666666667,-1.0141732786495534
L38B,57,Stream,L38,Lake,06/02/11,0.94,4.1,0.94,4.3,4.95,9.61,2.61,16,2.7,F,1,0.11503622617824931,0.8266666666666667,0.9851968992595656
238,238,Lake,L39,Lake,06/06/11,0.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7677456175930497,1.2066666666666666,-0.6599408124986911
58,58,Stream,L39,Lake,06/02/11,0.83,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7677456175930497,1.2066666666666666,-0.4906138935023164
L39A,59,Stream,L39,Lake,06/02/11,2.09,5,2.02,5.2,6.24,13.46,3.53,18,3.3,M,1,0.7677456175930497,1.2066666666666666,1.1505547060010075
185,185,Lake,L4,Lake,06/04/11,0.75,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9016281569102271,1.7233333333333332,-1.0795285460791633
7,7,Stream,L4,Lake,06/02/11,2.53,5.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9016281569102271,1.7233333333333332,0.8946777676409505
L04A,6,Stream,L4,Lake,06/02/11,1.89,4.9,1.79,4.9,5.8,13.04,3.62,16,2.8,M,1,0.9016281569102271,1.7233333333333332,0.184850778438213
240,240,Lake,L40,Lake,06/06/11,0.67,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.73,1.47,-1.095890410958904
L40A,239,Lake,L40,Lake,06/06/11,2.1,5.4,1.89,5.6,5.64,12.51,3.86,21,3,F,1,0.73,1.47,0.8630136986301372
L40B,60,Stream,L40,Lake,06/02/11,1.64,4.9,1.34,5,5.57,11.01,3.12,19,2.2,F,1,0.73,1.47,0.23287671232876703
186,186,Lake,L5,Lake,06/04/11,0.62,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.47721413781795413,1.1533333333333333,-1.1175975124542252
L05A,8,Stream,L5,Lake,06/02/11,1.54,5.1,1.29,5.1,5.07,10.36,2.87,17,2.3,F,1,0.47721413781795413,1.1533333333333333,0.8102581965293134
L05B,9,Stream,L5,Lake,06/02/11,1.3,4.5,1.29,4.6,5.46,10.74,3.2,18,2.1,F,1,0.47721413781795413,1.1533333333333333,0.30733931592491204
L06A,188,Lake,L6,Lake,06/04/11,0.55,3.6,0.95,4.3,3.43,8.49,2.07,20,2.8,M,1,0.6858935777509511,1.0350000000000001,-0.7071067811865477
L06B,187,Lake,L6,Lake,06/04/11,1.52,4.9,0.96,4.9,5.18,9.03,3.03,19,2.5,F,1,0.6858935777509511,1.0350000000000001,0.7071067811865474
189,189,Lake,L7,Lake,06/04/11,0.54,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6160086579478139,1.08,-0.8766110557584841
190,190,Lake,L7,Lake,06/04/11,0.62,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6160086579478139,1.08,-0.7467427512016717
L06C,10,Stream,L7,Lake,06/02/11,1.32,4.5,1.23,4.4,5.38,11.4,2.78,18,2.3,F,1,0.6160086579478139,1.08,0.3896049136704373
L07A,11,Stream,L7,Lake,06/02/11,1.84,5,1.7,5,5.77,11.32,4.25,19,3.1,M,1,0.6160086579478139,1.08,1.2337488932897183
12,12,Stream,L8,Lake,06/02/11,1.13,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.47088569030427474,1.0966666666666667,0.07078858844020942
L08A,13,Stream,L8,Lake,06/02/11,1.55,4.6,1.98,4.8,6.43,12.67,3.32,18,3,F,1,0.47088569030427474,1.0966666666666667,0.9627248027868516
L08B,191,Lake,L8,Lake,06/04/11,0.61,3.6,0.63,3.9,3.26,8.69,2.42,19,2.8,M,1,0.47088569030427474,1.0966666666666667,-1.0335133912270613
14,14,Stream,L9,Lake,06/02/11,0.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7538125319556138,1.2633333333333332,-0.4819942862859264
192,192,Lake,L9,Lake,06/05/11,0.76,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7538125319556138,1.2633333333333332,-0.6677168553135312
L09A,15,Stream,L9,Lake,06/02/11,2.13,5.3,2.23,5.3,6.18,6.35,3.75,20,2.8,M,1,0.7538125319556138,1.2633333333333332,1.149711141599458
S01B,119,Stream,S1,Stream,06/03/11,1.85,5,1.82,5.2,6.01,12.41,3.28,19,3,F,1,0.5139066063011839,1.74,0.2140466743397587
S01C,121,Lake,S1,Stream,06/03/11,2.19,5.3,1.61,5.5,5.54,11.86,3.45,18,3.9,F,1,0.5139066063011839,1.74,0.8756454859353756
S01D,120,Stream,S1,Stream,06/03/11,1.18,4.5,1.11,4.7,4.84,10.63,2.54,18,2.3,F,1,0.5139066063011839,1.74,-1.0896921602751344
S10A,103,Stream,S10,Stream,06/03/11,2.15,5,2.08,5.2,6.58,12.72,3.29,20,3.3,F,1,0.6841783393238929,1.76,0.570026815501641
S10B,131,Lake,S10,Stream,06/03/11,0.97,4.5,0.87,4.5,3.69,7.98,2.85,19,2.6,F,1,0.6841783393238929,1.76,-1.1546697031956323
S10C,102,Stream,S10,Stream,06/03/11,2.16,5.1,2.34,5.3,7.32,13.18,4.28,17,3.3,M,1,0.6841783393238929,1.76,0.5846428876939912
S11A,132,Lake,S11,Stream,06/03/11,1.67,4.6,1.27,4.8,5.37,10.5,3.2,20,2.6,F,1,0.3274650108535771,1.5666666666666667,0.31555534151261677
S11B,133,Lake,S11,Stream,06/03/11,1.83,5.1,1.52,5.2,5,11.41,3.58,18,3,F,1,0.3274650108535771,1.5666666666666667,0.8041571606289273
S11C,101,Stream,S11,Stream,06/03/11,1.2,4.4,1.18,4,5.36,10.35,2.75,17,2.8,M,1,0.3274650108535771,1.5666666666666667,-1.1197125021415442
S12A,134,Lake,S12,Stream,06/03/11,0.85,4.2,1.12,4.7,4.89,9.45,2.78,20,2.9,M,1,0.4417012565071556,1.36,-1.1546265546829797
S12B,99,Stream,S12,Stream,06/03/11,1.62,4.8,1.76,5.1,5.9,12.07,3.49,17,2.5,F,1,0.4417012565071556,1.36,0.5886331455246562
S12C,100,Stream,S12,Stream,06/03/11,1.61,4.7,1.53,4.8,5.5,12.15,3.18,19,2.6,F,1,0.4417012565071556,1.36,0.5659934091583233
S13A,135,Lake,S13,Stream,06/03/11,0.85,4.1,0.93,4.3,3.79,9.77,3.1,19,2.9,M,1,0.32419130154894654,1.2,-1.0796094723323624
S13B,136,Lake,S13,Stream,06/03/11,1.49,4.8,1.39,5,4.48,10.65,3.68,21,3.4,M,1,0.32419130154894654,1.2,0.8945335627896719
S13C,98,Stream,S13,Stream,06/03/11,1.26,4.5,1.45,4.8,5.12,11.38,2.82,17,2.7,F,1,0.32419130154894654,1.2,0.18507590954269088
138,138,Lake,S14,Stream,06/03/11,0.89,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3085989846602437,1.1066666666666667,-0.702097794991804
S14A,97,Stream,S14,Stream,06/03/11,1.46,4.6,1.38,4.9,5.37,11.27,2.91,17,2.8,F,1,0.3085989846602437,1.1066666666666667,1.144959481063557
S14B,137,Lake,S14,Stream,06/03/11,0.97,4.2,1.12,4.3,4.21,10.06,2.94,20,3.1,M,1,0.3085989846602437,1.1066666666666667,-0.44286168607175347
S15A,95,Stream,S15,Stream,06/03/11,1.75,4.9,1.78,5,6.24,12.15,3.27,21,2.7,F,1,0.32005207909547057,1.5266666666666666,0.6978031011843974
